item,2012-04-07,2014-01-06,2014-01-12,2014-01-19,2014-01-26,2014-02-02,2014-02-09,2014-02-16,2014-02-23,2014-03-02,2014-03-09,2014-03-16,2014-03-23,2014-03-30,2014-04-06,2014-04-13,2014-04-20,2014-04-27,2014-05-04,2014-05-11,2014-05-18,2014-05-25,2014-06-01,2014-06-08,2014-06-15,2014-06-22,2014-06-29,2014-07-06,2014-07-13,2014-07-20,2014-07-27,2014-08-03,2014-08-10,2014-08-17,2014-08-24,2014-08-31,2014-09-07,2014-09-14,2014-09-21,2014-09-28,2014-10-05
forum_combined_unique,0,0,0,0,0,0,5,29,14,9,7,11,10,11,16,6,1,0,2,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
forum_comment_total,0,0,0,0,0,0,0,8,15,1,0,4,2,4,5,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_comment_unique,0,0,0,0,0,0,0,6,5,1,0,3,1,4,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_post_total,0,0,0,0,0,0,5,55,32,18,14,23,16,15,22,9,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
forum_post_unique,0,0,0,0,0,0,5,28,13,9,7,11,10,10,15,6,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
lecture_combined_total,0,0,0,0,0,0,1294,10109,11104,10215,9288,9745,7997,8863,10641,4243,1888,1709,1603,1661,1520,2049,1268,2406,2878,4409,1016,820,1609,908,937,722,1036,881,595,931,1221,1280,1310,782,230
lecture_combined_unique,0,0,0,0,0,0,157,987,864,674,617,584,538,530,391,127,94,96,75,87,65,86,92,107,134,168,78,63,76,51,45,62,70,60,58,84,92,88,91,69,17
lecture_download_total,0,0,0,0,0,0,552,2694,3496,2718,3380,3383,2895,4103,3896,3602,1608,1197,1224,970,1232,1576,564,1071,1190,557,726,604,990,590,726,442,686,369,190,366,576,915,958,369,149
lecture_download_unique,0,0,0,0,0,0,53,241,231,172,171,154,141,144,85,55,30,31,31,22,18,32,25,21,25,24,22,16,19,17,15,19,22,11,8,16,23,20,28,10,4
lecture_view_total,0,0,0,0,0,0,742,7415,7608,7497,5908,6362,5102,4760,6745,641,280,512,379,691,288,473,704,1335,1688,3852,290,216,619,318,211,280,350,512,405,565,645,365,352,413,81
lecture_view_unique,0,0,0,0,0,0,141,917,785,611,540,509,477,456,345,91,74,75,55,77,53,67,79,98,123,158,70,53,69,46,37,55,61,53,54,75,81,78,80,64,14
quiz_exam_total,0,0,0,0,0,0,0,0,0,0,0,0,9,17,432,7,0,2,2,2,0,2,2,2,1,17,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0
quiz_exam_unique,0,0,0,0,0,0,0,0,0,0,0,0,9,17,418,5,0,2,1,1,0,2,2,2,1,17,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
quiz_homework_total,0,0,0,0,0,0,8,522,808,706,1077,885,670,629,340,13,3,8,1,0,0,4,23,17,32,117,1,2,3,0,0,1,1,0,0,0,1,0,10,1,2
quiz_homework_unique,0,0,0,0,0,0,5,319,429,383,388,391,358,330,144,3,1,2,1,0,0,1,4,8,11,29,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1
quiz_quiz_total,0,0,0,0,0,0,248,4020,4309,3893,3603,3835,3201,2044,3141,46,5,5,3,2,7,116,412,313,477,1209,17,25,7,2,10,4,11,35,4,12,7,11,50,8,3
quiz_quiz_unique,0,0,0,0,0,0,49,485,503,442,412,407,377,339,203,6,3,4,2,2,2,88,30,31,38,76,4,4,2,2,4,2,4,7,1,5,4,3,5,4,1
quiz_survey_total,0,0,0,0,0,0,78,183,26,13,3,1,1,2,3,2,0,3,0,1,2,0,3,0,0,0,3,0,2,0,1,2,2,2,2,4,3,1,4,0,0
quiz_survey_unique,0,0,0,0,0,0,78,183,26,13,3,1,1,2,3,2,0,3,0,1,1,0,3,0,0,0,3,0,2,0,1,2,2,2,2,4,3,1,4,0,0
quiz_video_total,0,0,0,0,0,0,137,1202,685,168,66,66,37,90,151,50,21,26,28,31,24,31,37,50,81,70,21,23,45,24,17,32,36,28,25,43,40,31,27,31,4
quiz_video_unique,0,0,0,0,0,0,78,565,438,106,41,38,25,47,67,25,13,16,14,19,16,20,21,26,36,37,15,11,23,12,13,21,23,18,16,25,28,16,20,17,3
registrations,1,268,191,221,191,266,429,753,479,181,145,100,85,89,94,75,78,75,57,78,56,69,67,54,64,62,75,73,83,54,57,79,75,75,67,89,111,103,116,86,18
work_combined_unique,0,0,0,0,0,0,49,511,540,462,445,433,411,389,446,11,4,8,4,3,2,90,30,35,39,91,4,4,2,2,4,4,4,8,1,5,4,3,5,5,2
