item,2012-04-07,2014-01-21,2014-01-26,2014-02-02,2014-02-09,2014-02-16,2014-02-23,2014-03-02,2014-03-09,2014-03-16,2014-03-23,2014-03-30,2014-04-06,2014-04-13,2014-04-20,2014-04-27,2014-05-04,2014-05-11,2014-05-18,2014-05-25,2014-06-01,2014-06-08,2014-06-15,2014-06-22,2014-07-03,2014-07-06,2014-07-16,2014-07-24,2014-07-27,2014-08-03,2014-08-10,2014-08-22,2014-08-26,2014-09-02,2014-09-10
forum_combined_unique,0,0,0,0,0,0,0,0,0,0,0,0,205,130,95,92,86,52,31,13,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
forum_comment_total,0,0,0,0,0,0,0,0,0,0,0,0,103,103,59,62,81,26,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_comment_unique,0,0,0,0,0,0,0,0,0,0,0,0,55,48,28,32,24,10,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_post_total,0,0,0,0,0,0,0,0,0,0,0,0,327,213,149,166,172,78,40,14,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
forum_post_unique,0,0,0,0,0,0,0,0,0,0,0,0,195,109,89,86,81,49,27,9,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
lecture_combined_total,0,0,0,0,0,0,0,0,0,0,31,60,18061,18078,17872,14199,15843,9752,4956,3321,2240,1576,1484,870,1040,712,1028,260,203,409,172,4,4,3,1
lecture_combined_unique,0,0,0,0,0,0,0,0,0,0,1,1,2129,2007,1719,1463,1321,629,289,206,125,102,88,65,46,41,30,24,17,26,20,1,3,2,1
lecture_download_total,0,0,0,0,0,0,0,0,0,0,0,0,5878,6897,6847,6458,7796,6933,3918,2615,1803,1246,1281,608,901,652,878,199,172,331,112,0,0,0,0
lecture_download_unique,0,0,0,0,0,0,0,0,0,0,0,0,782,738,675,620,616,270,141,86,47,37,31,24,21,20,17,9,6,7,4,0,0,0,0
lecture_view_total,0,0,0,0,0,0,0,0,0,0,31,60,12183,11181,11025,7741,8047,2819,1038,706,437,330,203,262,139,60,150,61,31,78,60,4,4,3,1
lecture_view_unique,0,0,0,0,0,0,0,0,0,0,1,1,1800,1637,1361,1112,958,436,178,137,89,75,59,49,33,27,17,18,13,20,16,1,3,2,1
quiz_exam_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491,362,32,4,3,2,0,2,0,0,1,0,0,0,0,0,0,0,0
quiz_exam_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491,362,32,4,3,2,0,2,0,0,1,0,0,0,0,0,0,0,0
quiz_quiz_total,0,0,0,0,0,0,0,0,0,0,0,2,715,1383,733,550,430,86,19,26,11,1,5,3,0,0,1,0,0,0,0,0,0,0,0
quiz_quiz_unique,0,0,0,0,0,0,0,0,0,0,0,1,670,1054,608,522,396,67,16,11,5,1,3,1,0,0,1,0,0,0,0,0,0,0,0
registrations,1,180,221,259,438,418,352,333,596,906,843,1045,875,866,261,354,191,90,124,100,86,84,75,65,0,0,2,0,0,0,0,0,0,0,0
work_combined_unique,0,0,0,0,0,0,0,0,0,0,0,1,670,1054,608,522,752,385,45,13,6,3,3,2,0,0,2,0,0,0,0,0,0,0,0
