item,2012-04-07,2014-02-17,2014-02-23,2014-03-02,2014-03-09,2014-03-16,2014-03-23,2014-03-30,2014-04-06,2014-04-13,2014-04-20,2014-04-27,2014-05-04,2014-05-11,2014-05-18,2014-05-25,2014-06-01,2014-06-08,2014-06-15,2014-06-22,2014-06-29,2014-07-06,2014-07-13,2014-07-20,2014-07-27,2014-08-03,2014-08-10,2014-08-17,2014-08-24,2014-08-31,2014-09-07,2014-09-14,2014-09-21,2014-09-28,2014-10-05
assignment_total,0,0,0,0,0,0,0,0,0,0,0,498,2557,3325,4690,4161,3283,5337,4111,1283,129,21,13,5,0,0,3,0,14,0,5,0,10,1,0
assignment_unique,0,0,0,0,0,0,0,0,0,0,0,262,420,466,412,363,305,273,225,101,17,5,4,2,0,0,2,0,1,0,2,0,1,1,0
forum_combined_unique,0,0,0,0,0,0,0,0,0,0,0,90,104,110,98,63,70,67,63,24,15,3,3,1,2,1,0,1,1,1,0,0,1,0,0
forum_comment_total,0,0,0,0,0,0,0,0,0,0,0,44,62,134,70,87,86,100,92,9,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0
forum_comment_unique,0,0,0,0,0,0,0,0,0,0,0,24,32,43,29,24,29,30,21,7,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0
forum_post_total,0,0,0,0,0,0,0,0,0,0,0,155,233,262,295,264,218,294,203,28,23,4,3,1,3,1,0,2,0,1,0,0,1,0,0
forum_post_unique,0,0,0,0,0,0,0,0,0,0,0,82,97,103,93,58,65,63,60,20,13,3,3,1,2,1,0,1,0,1,0,0,1,0,0
lecture_combined_total,0,0,0,0,0,0,0,0,0,0,0,17356,16086,11635,11676,11415,11810,9957,7591,5915,4389,2317,2284,1850,815,1205,633,1822,1137,631,551,999,445,874,143
lecture_combined_unique,0,0,0,0,0,0,0,0,0,0,0,1916,1669,1253,1057,953,946,760,488,392,340,192,174,156,97,87,74,145,75,72,66,61,58,46,19
lecture_download_total,0,0,0,0,0,0,0,0,0,0,0,6851,6533,4727,5555,5840,6374,6446,5174,4394,3150,1529,1476,1178,366,864,333,1275,708,261,266,776,261,691,22
lecture_download_unique,0,0,0,0,0,0,0,0,0,0,0,716,647,500,433,417,421,368,175,164,135,63,54,44,25,24,22,40,20,14,13,10,11,9,3
lecture_view_total,0,0,0,0,0,0,0,0,0,0,0,10505,9553,6908,6121,5575,5436,3511,2417,1521,1239,788,808,672,449,341,300,547,429,370,285,223,184,183,121
lecture_view_unique,0,0,0,0,0,0,0,0,0,0,0,1686,1408,1027,866,747,708,549,380,300,263,160,147,127,83,72,63,121,66,65,58,55,54,40,18
quiz_quiz_total,0,0,0,0,0,0,0,0,0,0,0,642,1196,1360,966,838,784,842,723,237,39,7,6,3,2,0,4,3,2,1,0,4,1,10,2
quiz_quiz_unique,0,0,0,0,0,0,0,0,0,0,0,259,478,548,461,410,358,321,229,94,22,4,5,3,2,0,3,2,1,1,0,1,1,4,1
quiz_survey_total,0,0,0,0,0,0,0,0,0,0,0,251,67,52,19,13,9,9,2,6,3,0,2,0,0,0,1,1,0,0,0,0,0,0,0
quiz_survey_unique,0,0,0,0,0,0,0,0,0,0,0,248,66,52,19,13,9,9,2,5,3,0,2,0,0,0,1,1,0,0,0,0,0,0,0
registrations,1,271,328,326,334,334,354,440,353,369,562,963,632,330,288,204,160,119,142,156,154,130,121,97,33,29,19,28,23,25,25,23,29,19,4
work_combined_unique,0,0,0,0,0,0,0,0,0,0,0,339,584,647,552,473,404,357,276,139,33,8,9,5,2,0,4,2,1,1,2,1,1,5,1
