item,2012-04-07,2013-12-12,2013-12-18,2013-12-22,2013-12-29,2014-01-05,2014-01-12,2014-01-19,2014-01-26,2014-02-02,2014-02-09,2014-02-16,2014-02-23,2014-03-02,2014-03-09,2014-03-16,2014-03-23,2014-03-30,2014-04-06,2014-04-13,2014-04-20,2014-04-27,2014-05-04,2014-05-11,2014-05-18,2014-05-25,2014-06-01,2014-06-08,2014-06-15,2014-06-22,2014-06-29,2014-07-06,2014-07-13,2014-07-20,2014-07-27,2014-08-03,2014-08-10,2014-08-17,2014-08-24,2014-08-31,2014-09-07,2014-09-14,2014-09-22,2014-09-28,2014-10-05
assignment_total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384,192,0,275,115,106,0,107,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
assignment_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384,192,0,155,115,106,0,107,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_combined_unique,0,0,0,0,0,0,0,0,0,0,0,11,20,33,31,20,19,16,24,9,8,10,2,8,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_comment_total,0,0,0,0,0,0,0,0,0,0,0,1,9,10,12,9,10,8,5,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_comment_unique,0,0,0,0,0,0,0,0,0,0,0,1,8,9,9,4,6,6,3,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_post_total,0,0,0,0,0,0,0,0,0,0,0,14,37,60,67,90,62,39,51,36,31,41,3,12,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum_post_unique,0,0,0,0,0,0,0,0,0,0,0,11,16,32,29,20,17,15,24,9,8,10,2,7,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lecture_combined_total,0,0,0,0,0,0,0,0,0,0,0,2735,4531,4086,3980,2644,1998,2706,1886,1603,1958,3038,1964,1088,874,1197,382,693,647,388,364,324,259,88,152,132,52,37,85,17,417,126,33,30,1
lecture_combined_unique,0,0,0,0,0,0,0,0,0,0,0,399,577,524,435,372,266,250,209,196,208,234,136,67,66,74,52,42,56,50,44,43,20,13,23,20,11,10,9,8,27,13,9,7,1
lecture_download_total,0,0,0,0,0,0,0,0,0,0,0,1200,1651,1581,1710,1048,843,1478,890,640,982,1803,1518,800,514,960,172,429,413,153,144,97,29,51,103,79,1,13,65,0,331,44,20,15,0
lecture_download_unique,0,0,0,0,0,0,0,0,0,0,0,161,215,195,193,156,108,106,84,62,82,112,53,20,22,26,18,15,19,11,6,7,4,2,5,5,1,2,2,0,7,3,1,1,0
lecture_view_total,0,0,0,0,0,0,0,0,0,0,0,1535,2880,2505,2270,1596,1155,1228,996,963,976,1235,446,288,360,237,210,264,234,235,220,227,230,37,49,53,51,24,20,17,86,82,13,15,1
lecture_view_unique,0,0,0,0,0,0,0,0,0,0,0,330,486,426,344,291,202,185,165,158,155,164,92,56,54,61,44,36,49,44,39,40,19,12,20,15,10,9,7,8,24,12,9,6,1
quiz_survey_total,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
quiz_survey_unique,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
registrations,1,2,112,82,91,91,112,161,168,331,256,382,304,322,81,109,46,61,59,60,65,54,46,40,68,68,58,57,56,55,44,17,8,6,10,6,4,7,0,0,0,0,0,0,0
work_combined_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384,192,0,155,115,106,0,107,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
